序號,是否離職,年齡,性別,婚姻狀態,是否有大學學歷,是否有碩士學歷,是否有博士學歷,最高學歷學校等級,外部經歷總公司數,外部經歷總年資,集團年資,公司年資,一級主管序號,是否為主管,廣義管理幅度,狹義管理幅度,職位層級,是否為STEM人才,是否有兼職,距上次升遷時長,單位,單位層級,單位_第一層,單位_第二層,單位_第三層,個性分群,職能強項,職能弱項,職能驚喜,職能盲點,績效,是否為關鍵人才
51,0,64,女性,已婚,,,,,2,14.16666667,25.47146119,6.532876712,,FALSE,0,0,資深專業人員,FALSE,FALSE,,03C2100,科,03C0000,03C2000,03C2100,樂觀關係型,,,,,,
54,0,44,女性,已婚,YES,NO,NO,其他,1,1,19.50547945,0.833333333,1551,FALSE,0,0,一般專業人員,FALSE,FALSE,,03C2500,科,03C0000,03C2000,03C2500,正向領導型,,,,,,
59,0,43,女性,已婚,YES,NO,NO,其他,1,1.833333333,18.91278539,1.729680365,895,FALSE,0,0,一般專業人員,FALSE,FALSE,1,03C0300,科,03C0000,03C0300,,,促進團隊成功,,,,4.7,FALSE
60,0,42,男性,已婚,YES,NO,NO,其他,0,0,18.86621005,0.90456621,951,FALSE,0,0,一般專業人員,FALSE,FALSE,,03C0300,科,03C0000,03C0300,,,,,,,,
62,1,57,女性,已婚,NO,NO,NO,其他,3,35.5,17.79383562,10.0109589,45,FALSE,0,0,一般專業人員,FALSE,FALSE,,03C0300,科,03C0000,03C0300,,,,,,,,
63,1,53,女性,已婚,NO,NO,NO,其他,1,5,15.63812785,6.388127854,951,FALSE,0,0,一般專業人員,FALSE,FALSE,,04C0500,科,04C0000,04C0500,,,,,,,,
64,0,55,男性,已婚,YES,YES,NO,,2,10.74611872,14.83881279,1.282876712,1551,FALSE,0,0,一般專業人員,FALSE,FALSE,,04C0500,科,04C0000,04C0500,,,,,,,,
67,0,42,男性,未婚,YES,NO,NO,其他,0,0,17.67762557,2.493378995,951,FALSE,0,0,資深專業人員,TRUE,TRUE,0.9,0DC6100,科,0DC0000,0DC6000,0DC6100,正向領導型,促進團隊成功,指導,,,5.5,TRUE
68,0,42,女性,未婚,YES,YES,NO,二級,1,1.165525114,17.66004566,2.118949772,185,FALSE,0,0,一般專業人員,TRUE,TRUE,,0DC6100,科,0DC0000,0DC6000,0DC6100,保守穩定型,,,,,4.6,TRUE
72,0,52,男性,未婚,YES,YES,NO,一級,0,0,26.00547945,8.393607306,213,FALSE,0,0,資深專業人員,TRUE,FALSE,,0DC6100,科,0DC0000,0DC6000,0DC6100,正向領導型,,,,,5,TRUE
74,0,43,女性,已婚,NO,NO,NO,其他,5,7.166666667,15.91552511,6.660045662,430,FALSE,0,0,一般專業人員,TRUE,FALSE,,0DC6100,科,0DC0000,0DC6000,0DC6100,樂觀關係型,對話力 學習力,工作管理,,,4,FALSE
78,0,32,女性,,YES,NO,NO,其他,2,7.534474886,2.374429224,0.5,744,FALSE,0,0,一般專業人員,FALSE,FALSE,,01C3000,部,01C0000,01C3000,,外向開放型,,,,,,
79,0,48,女性,已婚,YES,YES,NO,其他,2,10,15.24885845,1.576712329,1553,FALSE,0,0,一般專業人員,FALSE,FALSE,,01C3000,部,01C0000,01C3000,,外向開放型,,,,,,
83,0,49,男性,已婚,YES,YES,NO,一級,7,11.16552511,14.94954338,2.160045662,1554,FALSE,0,0,一般專業人員,FALSE,FALSE,,03C2100,科,03C0000,03C2000,03C2100,保守穩定型,,,,,,
87,0,44,男性,已婚,YES,YES,NO,一級,0,0,19.00273973,2.688584475,213,FALSE,0,0,資深專業人員,FALSE,FALSE,,03C2100,科,03C0000,03C2000,03C2100,,,,,,,
89,0,39,男性,未婚,YES,NO,NO,一級,1,0.25,11.38538813,0.866210046,45,FALSE,0,0,一般專業人員,FALSE,FALSE,3.9,03C2100,科,03C0000,03C2000,03C2100,外向開放型,,,,,,
90,0,39,男性,,YES,YES,NO,一級,3,7.833333333,8.505479452,6.005479452,1537,FALSE,0,0,資深專業人員,FALSE,FALSE,0.4,03C2100,科,03C0000,03C2000,03C2100,,,,,,,
92,0,46,男性,,NO,YES,NO,其他,3,6.416666667,13.32945205,4.493378995,179,FALSE,0,0,一般專業人員,FALSE,FALSE,,03C2100,科,03C0000,03C2000,03C2100,樂觀關係型,,,,,,
102,1,36,女性,未婚,YES,YES,NO,一級,0,0,11.76917808,1.12716895,185,FALSE,0,0,資深專業人員,FALSE,TRUE,1.9,0BC0000,處,0BC0000,,,樂觀關係型,,,,,5.5,TRUE
103,1,31,女性,未婚,YES,NO,NO,其他,0,0,4.86347032,1.162785388,759,FALSE,0,0,基層/專案主管,FALSE,FALSE,,0BC0000,處,0BC0000,,,樂觀關係型,計劃與組織能力,指導與發展人才 學習力,,,6,TRUE
104,1,29,女性,未婚,YES,NO,NO,其他,2,1.826712329,3.65456621,0.049315068,194,FALSE,0,0,基層/專案主管,FALSE,FALSE,4.1,0BC0000,處,0BC0000,,,外向開放型,計劃與組織能力,敏捷力,,,5,TRUE
105,1,33,男性,已婚,YES,NO,NO,一級,3,5.916666667,1.565753425,1.563013699,744,FALSE,0,0,資深專業人員,FALSE,FALSE,,0BC0000,處,0BC0000,,,外向開放型,,,,,5.3,TRUE
106,1,27,男性,未婚,YES,NO,NO,一級,1,2.246118721,1.419406393,1.419406393,744,FALSE,0,0,資深專業人員,FALSE,FALSE,2,0BC0000,處,0BC0000,,,正向領導型,,,,,5,TRUE
107,1,30,男性,已婚,YES,YES,NO,一級,0,0,4.760958904,2.65456621,1537,FALSE,0,0,資深專業人員,FALSE,FALSE,,0BC0000,處,0BC0000,,,保守穩定型,,,,,4.5,FALSE
108,0,33,男性,已婚,YES,YES,NO,一級,0,0,0.968721461,0.955022831,1536,FALSE,0,0,基層/專案主管,FALSE,FALSE,,0BC0000,處,0BC0000,,,樂觀關係型,建立夥伴關係,計劃與組織能力 敏捷力,,,4,FALSE
109,1,35,男性,已婚,YES,YES,NO,其他,4,7.082191781,1.086073059,1.082191781,663,FALSE,0,0,資深專業人員,FALSE,FALSE,1.9,0BC0000,處,0BC0000,,,正向領導型,促進團隊成功,,,計劃與組織能力,5.3,TRUE
110,1,34,男性,未婚,YES,YES,NO,其他,3,1,6.240639269,1.135388128,1580,FALSE,0,0,基層/專案主管,FALSE,FALSE,,0BC0000,處,0BC0000,,,,,,,,,
111,1,30,女性,已婚,NO,YES,NO,一級,3,5.794292237,1.196803653,0.829452055,744,FALSE,0,0,資深專業人員,FALSE,FALSE,,0BC0000,處,0BC0000,,,正向領導型,,,,,3,FALSE
112,0,35,女性,未婚,YES,YES,NO,二級,1,0.621689498,9.793835616,9.793835616,188,FALSE,0,0,一般專業人員,FALSE,FALSE,,0BC0000,處,0BC0000,,,保守穩定型,,,學習力,,4.5,TRUE
113,1,27,男性,未婚,YES,NO,NO,其他,2,3.828310502,0.333333333,0.333333333,663,FALSE,0,0,一般專業人員,FALSE,TRUE,,0BC0000,處,0BC0000,,,,,敏捷力,,,5,TRUE
114,1,28,男性,未婚,YES,NO,NO,其他,2,3.063013699,0.166666667,0.166666667,663,FALSE,0,0,資深專業人員,FALSE,FALSE,,0BC0000,處,0BC0000,,,外向開放型,,,,,6,TRUE
121,0,35,男性,,YES,YES,NO,其他,5,3.75,8.172146119,5.293835616,1577,FALSE,0,0,資深專業人員,FALSE,FALSE,4,0BC0000,處,0BC0000,,,外向開放型,,敏捷力,,,5.5,TRUE
123,0,34,女性,未婚,YES,YES,NO,其他,0,0,10.64908676,1.788356164,194,FALSE,0,0,一般專業人員,FALSE,FALSE,3.2,0BC0000,處,0BC0000,,,樂觀關係型,對話力,學習力,,,4.5,TRUE
124,1,35,男性,未婚,YES,YES,NO,二級,2,0.916666667,8.662785388,2.702283105,233,FALSE,0,0,資深專業人員,FALSE,FALSE,,0BC0000,處,0BC0000,,,保守穩定型,,敏捷力 學習力,,,4,FALSE
125,1,34,女性,,YES,YES,NO,二級,4,4.166666667,6.804794521,3.651826484,690,FALSE,0,0,資深專業人員,FALSE,TRUE,1.9,0BC0000,處,0BC0000,,,樂觀關係型,對話力,計劃與組織能力,,,5,TRUE
126,0,29,女性,未婚,YES,NO,NO,其他,1,0.5,5.485159817,3.713242009,1458,FALSE,0,0,一般專業人員,FALSE,TRUE,,0BC0000,處,0BC0000,,,樂觀關係型,促進團隊成功 學習力,問題分析與解決 敏捷力,,,3.8,FALSE
127,0,35,女性,已婚,YES,YES,NO,一級,2,2.666666667,9.240639269,0.771917808,185,FALSE,0,0,資深專業人員,FALSE,FALSE,2.9,0BC0000,處,0BC0000,,,保守穩定型,,,,,5,TRUE
128,0,39,女性,未婚,YES,NO,NO,一級,1,0.579452055,10.34155251,6.199543379,430,FALSE,0,0,資深專業人員,FALSE,FALSE,1.8,0BC0000,處,0BC0000,,,樂觀關係型,,,,,5.2,TRUE
130,0,35,女性,已婚,YES,NO,NO,其他,1,4.071232877,10.16004566,0.662785388,1532,FALSE,0,0,一般專業人員,FALSE,FALSE,2.8,0BC0000,處,0BC0000,,,外向開放型,,,,,5,TRUE
132,0,43,男性,已婚,YES,NO,NO,一級,3,6.416666667,10.06027397,2.288356164,185,FALSE,0,0,中階/專案主管,FALSE,FALSE,,0BC0000,處,0BC0000,,,,,,,,5,TRUE
133,1,38,男性,已婚,YES,YES,NO,二級,3,4.916666667,4.476940639,2.102511416,1458,FALSE,0,0,一般專業人員,FALSE,FALSE,1.3,0BC0000,處,0BC0000,,,正向領導型,,,,,,
135,1,41,男性,未婚,YES,YES,NO,一級,2,7.165525114,7.560273973,3.743378995,1553,FALSE,0,0,一般專業人員,FALSE,FALSE,,0BC0000,處,0BC0000,,,,學習力,問題分析與解決,,,,
136,0,39,女性,,YES,NO,NO,其他,2,2.246118721,12.44954338,2.535616438,233,FALSE,0,0,一般專業人員,FALSE,FALSE,,0BC0000,處,0BC0000,,,,,,,,,
137,0,36,女性,未婚,YES,YES,NO,二級,1,1.833333333,9.760958904,3.649086758,185,FALSE,0,0,資深專業人員,FALSE,FALSE,2.2,0BC0000,處,0BC0000,,,,,指導,,,5,TRUE
141,1,25,女性,未婚,YES,NO,NO,其他,1,2.666666667,3.083333333,0.416666667,1579,FALSE,0,0,行政人員,FALSE,FALSE,,02C0000,處,02C0000,,,保守穩定型,對話力,問題分析與解決,,,4.5,FALSE
142,0,40,女性,未婚,YES,YES,NO,其他,5,6.411643836,7.748858447,3.073972603,1538,FALSE,0,0,資深專業人員,FALSE,FALSE,5.9,02C0000,處,02C0000,,,,,,,促進團隊成功,4,TRUE
143,1,30,女性,未婚,YES,NO,NO,其他,0,0,5.243378995,0.202283105,411,FALSE,0,0,資深專業人員,FALSE,FALSE,,02C0000,處,02C0000,,,,,,,敏捷力 學習力,3.8,FALSE
153,0,34,女性,未婚,YES,YES,NO,一級,1,0.083333333,9.321232877,1.743378995,241,FALSE,0,0,一般專業人員,TRUE,FALSE,,0DC1400,科,0DC0000,0DC1000,0DC1400,正向領導型,,,,,,
158,0,39,女性,未婚,YES,YES,NO,其他,3,7.416666667,3.998858447,0.901826484,1530,FALSE,0,0,一般專業人員,TRUE,FALSE,,0DC1400,科,0DC0000,0DC1000,0DC1400,正向領導型,,,,,,
159,0,47,女性,已婚,YES,YES,NO,其他,2,12.49885845,8.532876712,6.910045662,45,FALSE,0,0,一般專業人員,FALSE,TRUE,,0AC0200,科,0AC0000,0AC0200,,樂觀關係型,,工作管理 問題分析與解決,,,5,TRUE
162,0,50,女性,,YES,NO,NO,一級,3,5.333333333,8.62716895,4.160045662,213,FALSE,0,0,一般專業人員,TRUE,FALSE,,0DC1400,科,0DC0000,0DC1000,0DC1400,正向領導型,,,,,,
163,1,31,女性,未婚,YES,YES,NO,一級,1,0.333333333,7.049315068,3.907305936,1582,FALSE,0,0,一般專業人員,FALSE,FALSE,,0AC0200,科,0AC0000,0AC0200,,正向領導型,,敏捷力,,,5,TRUE
164,0,33,女性,未婚,YES,YES,NO,一級,2,1.333333333,8.838812785,0.076712329,185,FALSE,0,0,一般專業人員,TRUE,FALSE,,0DC1300,科,0DC0000,0DC1000,0DC1300,樂觀關係型,對話力,敏捷力,,,4.6,TRUE
165,1,29,女性,未婚,YES,YES,NO,一級,3,1,4.752739726,0.657305936,1553,FALSE,0,0,一般專業人員,TRUE,FALSE,,0DC1300,科,0DC0000,0DC1000,0DC1300,保守穩定型,,,,,4.5,TRUE
166,1,43,女性,已婚,NO,YES,NO,一級,1,14.58219178,3.538356164,0.699543379,1579,FALSE,0,0,資深專業人員,TRUE,FALSE,,0DC1300,科,0DC0000,0DC1000,0DC1300,樂觀關係型,,,,,,
167,0,33,女性,未婚,NO,YES,NO,一級,1,0.75,8.573972603,4.266438356,1583,FALSE,0,0,一般專業人員,FALSE,FALSE,,0AC0200,科,0AC0000,0AC0200,,正向領導型,,問題分析與解決,,,4,FALSE
168,0,49,女性,已婚,YES,YES,NO,一級,3,17.91164384,9.336073059,1.924885845,188,FALSE,0,0,資深專業人員,FALSE,FALSE,0.2,0AC0200,科,0AC0000,0AC0200,,,,,,,4.3,TRUE
169,0,42,男性,未婚,YES,NO,NO,其他,4,4.952283105,7.215981735,2.844292237,951,FALSE,0,0,基層/專案主管,FALSE,FALSE,3.6,01C6000,部,01C0000,01C6000,,保守穩定型,,指導與發展人才,,,6,TRUE
171,0,42,女性,已婚,YES,NO,NO,其他,0,0,8.36347032,3.643607306,92,FALSE,0,0,一般專業人員,FALSE,FALSE,1.9,01C6000,部,01C0000,01C6000,,保守穩定型,,工作管理,學習力,,5.3,TRUE
176,0,36,女性,未婚,YES,YES,NO,一級,3,2.416666667,5.979680365,3.586073059,744,FALSE,0,0,一般專業人員,FALSE,FALSE,,01C6000,部,01C0000,01C6000,,樂觀關係型,,,,,,
177,1,34,女性,未婚,YES,YES,NO,一級,2,7,1.90456621,0.29109589,254,FALSE,0,0,一般專業人員,FALSE,FALSE,,01C6000,部,01C0000,01C6000,,正向領導型,學習力,問題分析與解決,,,4.5,TRUE
178,0,43,女性,已婚,YES,YES,NO,一級,6,13.08881279,5.315753425,2.882648402,1552,FALSE,0,0,一般專業人員,FALSE,FALSE,,01C6000,部,01C0000,01C6000,,保守穩定型,對話力,,,,,
179,0,50,男性,已婚,YES,NO,NO,其他,3,14.49885845,8.11347032,4.496118721,1579,FALSE,0,0,資深專業人員,TRUE,FALSE,2.1,0DC2300,科,0DC0000,0DC2000,0DC2300,正向領導型,,,,,6,TRUE
184,1,40,男性,未婚,YES,YES,NO,一級,0,0,13.50273973,2.293835616,212,FALSE,0,0,資深專業人員,TRUE,FALSE,,0AC0100,科,0AC0000,0AC0100,,外向開放型,,持續改善 學習力,,,4,FALSE
185,0,39,女性,已婚,YES,YES,NO,二級,0,0,15.79657534,7.455022831,212,FALSE,0,0,一般專業人員,TRUE,FALSE,,0AC0100,科,0AC0000,0AC0100,,外向開放型,對話力,,,,4.7,TRUE
186,0,39,男性,已婚,YES,YES,NO,一級,2,4.333333333,7.901826484,6.735159817,233,FALSE,0,0,資深專業人員,TRUE,TRUE,0.9,0AC0100,科,0AC0000,0AC0100,,外向開放型,敏捷力,,,持續改善,5.5,TRUE
192,0,39,男性,未婚,YES,YES,NO,其他,3,6.416666667,7.737899543,6.474200913,1583,FALSE,0,0,資深專業人員,FALSE,FALSE,,01C7000,部,01C0000,01C7000,,外向開放型,促進團隊成功,計劃與組織能力,,,4,FALSE
194,0,35,女性,已婚,YES,YES,NO,二級,1,2.583333333,7.785616438,2.269178082,1579,FALSE,0,0,一般專業人員,TRUE,FALSE,,0AC0100,科,0AC0000,0AC0100,,正向領導型,促進團隊成功 對話力,工作管理 問題分析與解決,,,5.3,TRUE
197,0,35,男性,已婚,YES,YES,NO,二級,3,3.166666667,5.965981735,2.232420091,518,FALSE,0,0,一般專業人員,TRUE,FALSE,,0AC0100,科,0AC0000,0AC0100,,外向開放型,,,,,,
198,0,40,男性,已婚,YES,NO,NO,其他,5,11.57442922,7.669406393,5.699543379,1587,FALSE,0,0,一般專業人員,FALSE,FALSE,,01C7000,部,01C0000,01C7000,,保守穩定型,,敏捷力,,,4,FALSE
199,0,31,女性,已婚,YES,YES,NO,二級,0,0,6.474200913,0.979680365,194,FALSE,0,0,一般專業人員,TRUE,FALSE,0.9,0AC0100,科,0AC0000,0AC0100,,外向開放型,促進團隊成功,工作管理,,,5.2,TRUE
203,0,38,女性,已婚,YES,YES,NO,一級,3,7.611187215,7.710502283,3.651826484,1546,FALSE,0,0,一般專業人員,TRUE,FALSE,,0DC2800,科,0DC0000,0DC2000,0DC2800,正向領導型,促進團隊成功,問題分析與解決,敏捷力,,5,TRUE
204,1,38,男性,,YES,YES,NO,其他,4,6.166666667,3.296575342,2.65456621,1579,FALSE,0,0,一般專業人員,TRUE,FALSE,,0DC2200,科,0DC0000,0DC2000,0DC2200,,,,,,,
210,0,48,男性,已婚,YES,NO,NO,二級,1,8.666666667,7.485159817,3.576712329,233,FALSE,0,0,一般專業人員,TRUE,FALSE,,0DC2200,科,0DC0000,0DC2000,0DC2200,保守穩定型,,,,,,
211,0,33,男性,已婚,YES,YES,NO,其他,1,3.25,4.105251142,0.65456621,233,FALSE,0,0,一般專業人員,TRUE,FALSE,,0DC2800,科,0DC0000,0DC2000,0DC2800,保守穩定型,學習力,,,問題分析與解決,4,FALSE
212,0,48,女性,未婚,YES,YES,NO,其他,0,0,23.69954338,9.496118721,,FALSE,0,0,一般專業人員,TRUE,FALSE,,0DC2800,科,0DC0000,0DC2000,0DC2800,樂觀關係型,,促進團隊成功 對話力,,,4,FALSE
213,0,44,女性,未婚,YES,YES,NO,一級,0,0,21.27739726,8.266438356,406,FALSE,0,0,一般專業人員,TRUE,FALSE,,0DC2800,科,0DC0000,0DC2000,0DC2800,外向開放型,,,,,4,FALSE
214,0,45,男性,已婚,YES,YES,NO,一級,2,12.33333333,7.332191781,4.568493151,1583,FALSE,0,0,一般專業人員,TRUE,FALSE,,0DC2800,科,0DC0000,0DC2000,0DC2800,樂觀關係型,,,,,,
215,0,23,女性,未婚,YES,NO,NO,二級,3,1.083333333,0.498858447,0.332191781,1556,FALSE,0,0,一般專業人員,TRUE,FALSE,,0DC2800,科,0DC0000,0DC2000,0DC2800,外向開放型,學習力,對話力,,,5.5,TRUE
216,0,37,女性,已婚,YES,NO,NO,其他,3,8.32283105,7.172146119,5.412785388,241,FALSE,0,0,一般專業人員,TRUE,FALSE,,0DC2800,科,0DC0000,0DC2000,0DC2800,樂觀關係型,,敏捷力,,學習力,3.8,FALSE
219,0,39,女性,未婚,YES,NO,NO,其他,4,5.912785388,6.237899543,6.110730594,681,FALSE,0,0,一般專業人員,TRUE,FALSE,,0DC2800,科,0DC0000,0DC2000,0DC2800,外向開放型,,,,,,
220,1,26,男性,未婚,,,,,2,3,0.496118721,0.162785388,396,FALSE,0,0,一般專業人員,TRUE,FALSE,0.9,0DC2800,科,0DC0000,0DC2000,0DC2800,樂觀關係型,敏捷力 學習力,促進團隊成功 對話力,,,5,TRUE
221,1,29,男性,未婚,YES,NO,NO,一級,0,0,3.441324201,2.841552511,1580,FALSE,0,0,一般專業人員,TRUE,FALSE,,0DC2800,科,0DC0000,0DC2000,0DC2800,正向領導型,,,,,4,FALSE
223,0,32,女性,未婚,YES,YES,YES,其他,0,0,4.955022831,3.04109589,72,FALSE,0,0,一般專業人員,FALSE,FALSE,1,09C3000,部,09C0000,09C3000,,樂觀關係型,,,,,5,TRUE
228,1,24,男性,未婚,YES,NO,NO,一級,2,0.416666667,0.818493151,0.321232877,691,FALSE,0,0,一般專業人員,FALSE,FALSE,,09C2000,部,09C0000,09C2000,,,,,,,,
230,0,49,男性,已婚,YES,NO,NO,其他,8,19.73515982,5.710502283,3.624429224,92,FALSE,0,0,資深專業人員,FALSE,FALSE,,09C3000,部,09C0000,09C3000,,,,,,,,
231,1,28,女性,已婚,,,,,2,3.665525114,1.672146119,0.326712329,744,FALSE,0,0,一般專業人員,FALSE,FALSE,0.2,01C6000,部,01C0000,01C6000,,,,敏捷力,,,,
233,0,37,男性,未婚,YES,YES,NO,二級,1,0.75,6.874429224,1.493378995,1546,FALSE,0,0,一般專業人員,FALSE,FALSE,,01C6000,部,01C0000,01C6000,,,,,,,,
236,1,28,女性,未婚,NO,YES,NO,一級,0,0,3.079452055,0.990639269,1553,FALSE,0,0,資深專業人員,FALSE,FALSE,0.4,0AC1000,部,0AC0000,0AC1000,,正向領導型,,,,,,
240,0,24,女性,,YES,YES,NO,一級,0,0,0.579452055,0.496118721,604,FALSE,0,0,一般專業人員,FALSE,FALSE,12.2,0AC1000,部,0AC0000,0AC1000,,,,對話力,,,4,FALSE
241,0,43,女性,已婚,YES,NO,NO,一級,1,9.990639269,7.860730594,2.713242009,1554,FALSE,0,0,一般專業人員,FALSE,FALSE,,0AC1000,部,0AC0000,0AC1000,,保守穩定型,對話力,,學習力,工作管理,3,FALSE
242,0,35,男性,已婚,YES,YES,NO,一級,1,1.916666667,8.638127854,3.410045662,1553,FALSE,0,0,資深專業人員,FALSE,FALSE,3.6,0AC1000,部,0AC0000,0AC1000,,樂觀關係型,,持續改善,,,4.2,TRUE
243,0,35,女性,已婚,YES,YES,NO,二級,1,1.218721461,5.64086758,0.713242009,1536,FALSE,0,0,一般專業人員,FALSE,FALSE,2,0AC1000,部,0AC0000,0AC1000,,,,,,,,
244,0,28,女性,未婚,YES,NO,NO,一級,1,1.083333333,5.37716895,0.635388128,212,FALSE,0,0,一般專業人員,FALSE,FALSE,,0AC1000,部,0AC0000,0AC1000,,,,,,,,
247,0,50,男性,,YES,NO,NO,其他,3,15.94018265,5.660045662,4.493378995,1013,FALSE,0,0,一般專業人員,FALSE,FALSE,,04C0100,科,04C0000,04C0100,,,,,,,,
250,1,32,男性,已婚,YES,NO,NO,其他,2,2.434703196,5.088812785,1.998858447,1587,FALSE,0,0,一般專業人員,FALSE,FALSE,2.9,03C0500,科,03C0000,03C0500,,樂觀關係型,,,,,5,TRUE
251,1,39,女性,已婚,YES,NO,NO,其他,1,14.26917808,3.75,1.25,1562,FALSE,0,0,行政人員,FALSE,FALSE,0.9,03C0500,科,03C0000,03C0500,,樂觀關係型,,,,,4.7,TRUE
252,0,37,男性,已婚,YES,YES,NO,一級,2,12.03835616,5.455022831,3.073972603,1583,FALSE,0,0,一般專業人員,FALSE,FALSE,3.4,03C2200,科,03C0000,03C2000,03C2200,保守穩定型,,,,,4.8,TRUE
253,0,29,男性,未婚,YES,YES,NO,二級,1,3.083333333,0.826712329,0.196803653,518,FALSE,0,0,一般專業人員,FALSE,FALSE,,03C0500,科,03C0000,03C0500,,外向開放型,,,,,4.8,TRUE
254,0,39,男性,已婚,YES,YES,NO,二級,3,9.82716895,1.460502283,1.379908676,744,FALSE,0,0,行政人員,FALSE,FALSE,,03C0500,科,03C0000,03C0500,,樂觀關係型,,,,,3,FALSE
255,0,33,女性,已婚,YES,NO,NO,其他,3,6.664383562,3.924885845,1.068493151,744,FALSE,0,0,行政人員,FALSE,FALSE,,03C2200,科,03C0000,03C2000,03C2200,保守穩定型,,,,,3,FALSE
257,0,52,女性,已婚,NO,NO,NO,其他,0,0,31.90182648,7.755479452,185,FALSE,0,0,高階主管,FALSE,FALSE,,01C3000,部,01C0000,01C3000,,,,,,,,
260,1,32,男性,已婚,YES,YES,NO,一級,2,0.498858447,6.280136986,1.202283105,233,FALSE,0,0,一般專業人員,TRUE,FALSE,,0DC1A00,科,0DC0000,0DC1000,0DC1A00,,,,,,5,TRUE
263,0,29,男性,未婚,YES,NO,NO,二級,2,2.746118721,5.196803653,1.796575342,233,FALSE,0,0,一般專業人員,FALSE,TRUE,1.1,0AC1000,部,0AC0000,0AC1000,,,工作管理 促進團隊成功,敏捷力,,,,
264,1,42,男性,已婚,YES,YES,NO,二級,0,0,15.77739726,4.568493151,185,FALSE,0,0,一般專業人員,FALSE,FALSE,,0AC1000,部,0AC0000,0AC1000,,保守穩定型,工作管理,敏捷力 學習力,,,3.2,FALSE
265,1,29,男性,,YES,NO,NO,其他,5,3.187442922,4.457762557,0.657305936,1583,FALSE,0,0,一般專業人員,FALSE,FALSE,,0AC1000,部,0AC0000,0AC1000,,正向領導型,,,,,4,FALSE
266,0,34,男性,,YES,YES,NO,一級,1,0.169406393,9.530136986,3.194063927,1538,FALSE,0,0,高階主管,FALSE,FALSE,2.3,04C0000,處,04C0000,,,,,,,,,
268,0,34,男性,已婚,YES,NO,NO,其他,2,4.665525114,5.04109589,0.576712329,830,FALSE,0,0,一般專業人員,FALSE,FALSE,,08C0000,處,08C0000,,,,,,,,,
270,0,31,男性,,YES,YES,NO,其他,2,5.482420091,4.702283105,0.465981735,851,FALSE,0,0,資深專業人員,FALSE,FALSE,,06C0000,處,06C0000,,,保守穩定型,,,學習力,,6,TRUE
